,variable,r_left,r,pvalue
15,"meio_transporte ONIBUS,CARRO 2018","(0.9432548903524579, 1.3679827492672841e-25)",0.9432548903524579,1.3679827492672841e-25
16,meio_transporte ONIBUS 2018,"(0.9760411588410095, 8.74875692399696e-35)",0.9760411588410095,8.74875692399696e-35
21,grupo_comunitario GRUPO RELIGIOSO 2018,"(0.7391335688553137, 3.923292310528947e-10)",0.7391335688553137,3.923292310528947e-10
22,grupo_comunitario OUTROS 2018,"(0.8953931255296818, 3.370665748723635e-19)",0.8953931255296818,3.370665748723635e-19
24,grupo_comunitario NAO PARTICIPA 2018,"(0.9833979564285105, 9.921007220632514e-39)",0.9833979564285105,9.921007220632514e-39
29,fezes_urina SISTEMA DE ESGOTO 2018,"(0.9946985362970606, 4.5638311259960586e-51)",0.9946985362970606,4.5638311259960586e-51
33,destino_lixo COLETADO 2018,"(0.9942834235745527, 2.990539935049269e-50)",0.9942834235745527,2.990539935049269e-50
38,tipo_habitacao MADEIRA APARELHADA 2018,"(0.7946163438532564, 2.0361647213304967e-12)",0.7946163438532564,2.0361647213304967e-12
40,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2018,"(0.994951018381843, 1.3514430691395398e-51)",0.994951018381843,1.3514430691395398e-51
44,abastecimento REDE PÃšBLICA 2018,"(0.9941864491715264, 4.5488210519420615e-50)",0.9941864491715264,4.5488210519420615e-50
46,tratamento_domicilio FILTRACAO 2018,"(0.8939998580027196, 4.61351320321027e-19)",0.8939998580027196,4.61351320321027e-19
47,tratamento_domicilio SEM TRATAMENTO 2018,"(0.982630337943363, 3.043855860998947e-38)",0.982630337943363,3.043855860998947e-38
48,tratamento_domicilio CLORACAO 2018,"(0.9078230839220826, 1.6577703485409e-20)",0.9078230839220826,1.6577703485409e-20
177,bairro TATUQUARA                                          2018,"(0.7004689939858689, 7.445049241596309e-09)",0.7004689939858689,7.445049241596309e-09
182,bairro UBERABA 2018,"(0.7121174052533552, 3.226065582757449e-09)",0.7121174052533552,3.226065582757449e-09
185,bairro CAJURU 2018,"(0.8133306169133612, 2.369143559632197e-13)",0.8133306169133612,2.369143559632197e-13
192,bairro UMBARA 2018,"(0.7581150929471334, 7.602707813239834e-11)",0.7581150929471334,7.602707813239834e-11
193,bairro CIDADE INDUSTRIAL 2018,"(0.7679465122177296, 3.0601912409174075e-11)",0.7679465122177296,3.0601912409174075e-11
203,bairro SITIO CERCADO 2018,"(0.8472965467805135, 2.3914473991035273e-15)",0.8472965467805135,2.3914473991035273e-15
205,bairro PINHEIRINHO                                        2018,"(0.7287912517279849, 9.051954518445153e-10)",0.7287912517279849,9.051954518445153e-10
206,sexo F 2018,"(0.9788857708680239, 3.837842642954601e-36)",0.9788857708680239,3.837842642954601e-36
207,sexo M 2018,"(0.9742924587239742, 4.98826639194601e-34)",0.9742924587239742,4.98826639194601e-34
